Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NZ_CP025831.1 Akkermansia muciniphila strain AMDK-16 chromosome, complete genome"	0.981923581	k__Bacteria	2	p__Verrucomicrobia	74201	c__Verrucomicrobiae	203494	o__Verrucomicrobiales	48461	f__Akkermansiaceae	1647988	g__Akkermansia	239934	s__Akkermansia_muciniphila	239935
"NZ_CP038612.1 Staphylococcus aureus strain O268 chromosome, complete genome"	0.985239702	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP023515.1 Enterococcus sp. FDAARGOS_375 chromosome, complete genome"	0.981944641	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Enterococcaceae	81852	g__Enterococcus	1350	s__Enterococcus_sp._FDAARGOS_375	2060307
"NZ_CP023483.1 Brochothrix thermosphacta strain BI chromosome, complete genome"	0.981949502	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Listeriaceae	186820	g__Brochothrix	2755	s__Brochothrix_thermosphacta	2756
"NC_005823.1 Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130, chromosome I, complete sequence"	0.981954253	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Leptospirales	1643688	f__Leptospiraceae	170	g__Leptospira	171	s__Leptospira_interrogans	173
"NZ_CP012978.1 Staphylococcus aureus strain ST20130941, complete genome"	0.985486104	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP026960.1 Staphylococcus aureus strain FDAARGOS_15 chromosome, complete genome"	0.985749843	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP011526.1 Staphylococcus aureus subsp. aureus DSM 20231, complete genome"	0.987270024	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NC_021179.1 Treponema pallidum str. Fribourg-Blanc, complete genome"	0.982041788	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum	160
"NZ_CP035101.1 Staphylococcus aureus subsp. aureus strain ATCC 12600 chromosome, complete genome"	0.987270024	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP029649.1 Staphylococcus aureus strain AR_0472 chromosome, complete genome"	0.9878498	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP029681.1 Staphylococcus aureus strain AR_0473 chromosome, complete genome"	0.987851543	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP028190.1 Staphylococcus aureus strain CFSAN018749 chromosome, complete genome"	0.988419024	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP007690.1 Staphylococcus aureus strain UA-S391_USA300, complete genome"	0.988542651	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_010079.1 Staphylococcus aureus subsp. aureus USA300_TCH1516, complete genome"	0.988542996	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP013218.1 Staphylococcus aureus subsp. aureus strain LA-MRSA ST398 isolate E154 chromosome, complete genome"	0.988753634	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP043420.1 Kushneria sp. YCWA18 chromosome, complete genome"	0.982172195	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Oceanospirillales	135619	f__Halomonadaceae	28256	g__Kushneria	504090	s__Kushneria_sp._YCWA18	657387
"NZ_CP007657.1 Staphylococcus aureus strain V2200, complete genome"	0.989058191	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP029086.1 Staphylococcus aureus strain AR462 chromosome, complete genome"	0.989114288	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP030323.1 Staphylococcus aureus strain AR_475 chromosome, complete genome"	0.989152651	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP020433.2 Streptococcus intermedius strain FDAARGOS_233 chromosome, complete genome"	0.982233076	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_intermedius	1338
"NZ_CP040461.1 Enterococcus sp. M190262 chromosome, complete genome"	0.982276204	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Enterococcaceae	81852	g__Enterococcus	1350	s__Enterococcus_sp._M190262	2582830
"NC_022442.1 Staphylococcus aureus subsp. aureus SA957, complete genome"	0.98941115	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP034759.1 Litorilituus sediminis strain JCM 17549 chromosome, complete genome"	0.982291391	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Colwelliaceae	267889	g__Litorilituus	1407056	s__Litorilituus_sediminis	718192
"NZ_CP029658.1 Staphylococcus aureus strain AR_0467 chromosome, complete genome"	0.989475485	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP016856.1 Staphylococcus aureus subsp. aureus strain 2148.N chromosome, complete genome"	0.989521621	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP017682.1 Staphylococcus aureus strain CFSAN007850 chromosome, complete genome"	0.990621755	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP014140.1 Aneurinibacillus sp. XH2, complete genome"	0.98230889	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Paenibacillaceae	186822	g__Aneurinibacillus	55079	s__Aneurinibacillus_sp._XH2	1450761
"NZ_CP031890.1 Staphylococcus aureus strain CFSAN082781 chromosome, complete genome"	0.990805741	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_013124.1 Acidimicrobium ferrooxidans DSM 10331, complete genome"	0.982319637	k__Bacteria	2	p__Actinobacteria	201174	c__Acidimicrobiia	84992	o__Acidimicrobiales	84993	f__Acidimicrobiaceae	84994	g__Acidimicrobium	53634	s__Acidimicrobium_ferrooxidans	53635
"NZ_CP031888.1 Staphylococcus aureus strain CFSAN082782 chromosome, complete genome"	0.990809889	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP025495.1 Staphylococcus aureus subsp. aureus strain 3020.C01 chromosome, complete genome"	0.991216565	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP017482.1 Pectobacterium polaris strain NIBIO1392 chromosome, complete genome"	0.982346514	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Pectobacteriaceae	1903410	g__Pectobacterium	122277	s__Pectobacterium_polaris	2042057
"NZ_CP012120.2 Staphylococcus aureus subsp. aureus strain USA300_2014.C02 chromosome, complete genome"	0.991500675	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP016861.1 Staphylococcus aureus subsp. aureus strain 1969.N chromosome, complete genome"	0.991501021	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP010890.1 Staphylococcus aureus strain SA564, complete genome"	0.991544212	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP015646.1 Staphylococcus aureus strain 08-02300, complete genome"	0.991684796	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP026957.1 Staphylococcus aureus strain FDAARGOS_43 chromosome, complete genome"	0.992685679	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP021905.1 Staphylococcus aureus strain Seattle 1945 isolate G477 chromosome, complete genome"	0.993213402	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP009361.1 Staphylococcus aureus subsp. aureus strain ATCC 25923, complete genome"	0.993215189	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP025473.1 Enterococcus mundtii strain Pe161 chromosome, complete genome"	0.982410163	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Enterococcaceae	81852	g__Enterococcus	1350	s__Enterococcus_mundtii	53346
"NZ_CP026962.1 Staphylococcus aureus strain FDAARGOS_6 chromosome, complete genome"	0.993459478	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP026077.1 Staphylococcus aureus strain NRS107 chromosome, complete genome"	0.993651752	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_014377.1 Thermosediminibacter oceani DSM 16646, complete genome"	0.982441059	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Thermoanaerobacterales	68295	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	543371	g__Thermosediminibacter	291988	s__Thermosediminibacter_oceani	291990
"NC_016844.1 Treponema pallidum subsp. pallidum DAL-1, complete genome"	0.982481133	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pallidum	161
"NC_022222.1 Staphylococcus aureus subsp. aureus 6850, complete genome"	0.993948607	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP013182.1 Staphylococcus aureus strain SA40TW, complete genome"	0.995725236	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_017563.1 Streptococcus thermophilus ND03, complete genome"	0.982560104	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_thermophilus	1308
"NZ_CP021151.1 Photobacterium damselae subsp. damselae strain KC-Na-1 chromosome I, complete sequence"	0.982562075	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Vibrionales	135623	f__Vibrionaceae	641	g__Photobacterium	657	s__Photobacterium_damselae_subsp._damselae	85581
"NZ_AP014921.1 Staphylococcus aureus DNA, complete genome, strain: JH4899"	0.996824047	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP040555.1 Treponema pallidum subsp. pallidum strain X-4 chromosome, complete genome"	0.982595772	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pallidum	161
"NZ_CP022892.1 Staphylococcus aureus strain 54 chromosome, complete genome"	0.997010414	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP007659.1 Staphylococcus aureus subsp. aureus strain H-EMRSA-15, complete genome"	0.997779589	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
"NZ_CP011528.1 Staphylococcus aureus strain RKI4, complete genome"	0.997925636	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP040229.1 Staphylococcus aureus strain GD487 chromosome, complete genome"	0.998633392	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_AP018543.1 Enterococcus faecalis KUB3007 DNA, complete genome"	0.982648639	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Enterococcaceae	81852	g__Enterococcus	1350	s__Enterococcus_faecalis	1351
"NZ_CP013137.1 Staphylococcus aureus strain XQ, complete genome"	0.998718074	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP044060.1 Aeromonas veronii strain FDAARGOS_632 chromosome, complete genome"	0.98265849	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Aeromonadales	135624	f__Aeromonadaceae	84642	g__Aeromonas	642	s__Aeromonas_veronii	654
"NZ_CP016104.1 Clostridioides difficile strain DSM 29629 chromosome, complete genome"	0.98267309	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Peptostreptococcaceae	186804	g__Clostridioides	1870884	s__Clostridioides_difficile	1496
"NC_016848.1 Treponema pallidum subsp. pertenue str. CDC2, complete genome"	0.982676812	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pertenue	168
"NZ_CP021907.1 Staphylococcus aureus strain Seattle 1945 isolate G478 chromosome, complete genome"	1.002788827	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NZ_CP032521.1 Alcaligenes faecalis strain J481 chromosome, complete genome"	0.982723971	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Alcaligenaceae	506	g__Alcaligenes	507	s__Alcaligenes_faecalis	511
"NZ_CP028140.1 Streptococcus pyogenes strain NGAS979 chromosome, complete genome"	0.982725254	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_pyogenes	1314
"NZ_CP020741.1 Staphylococcus aureus strain HZW450 chromosome, complete genome"	1.002839731	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_022226.1 Staphylococcus aureus subsp. aureus CN1, complete genome"	1.003174539	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus_subsp._aureus	46170
NC_007622.1 Staphylococcus aureus RF122 complete genome	1.006369664	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_021490.2 Treponema pallidum subsp. pallidum str. Nichols, complete genome"	0.982772524	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pallidum	161
"NZ_CP024780.1 Pectobacterium carotovorum subsp. brasiliense strain BZA12 chromosome, complete genome"	0.982779231	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Pectobacteriaceae	1903410	g__Pectobacterium	122277	s__Pectobacterium_brasiliense	180957
"NZ_CP014056.2 Grimontia hollisae strain ATCC 33564 chromosome 1, complete sequence"	0.982794564	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Vibrionales	135623	f__Vibrionaceae	641	g__Grimontia	246861	s__Grimontia_hollisae	673
"NZ_CP026070.1 Staphylococcus aureus strain NRS133 chromosome, complete genome"	1.007166574	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Staphylococcaceae	90964	g__Staphylococcus	1279	s__Staphylococcus_aureus	1280
"NC_021508.1 Treponema pallidum subsp. pallidum SS14, complete genome"	0.982827718	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pallidum	161
"NZ_CP022545.1 Streptomyces sp. 11-1-2 chromosome, complete genome"	0.067218913	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._11-1-2	1851167
"NC_013315.1 Clostridium difficile CD196 complete genome, strain CD196"	0.98283589	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Peptostreptococcaceae	186804	g__Clostridioides	1870884	s__Clostridioides_difficile	1496
"NZ_CP014163.1 Aerococcus urinaehominis strain CCUG42038B, complete genome"	0.982854647	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Aerococcaceae	186827	g__Aerococcus	1375	s__Aerococcus_urinaehominis	128944
"NZ_CP021121.1 Streptomyces sp. SCSIO 03032 chromosome, complete genome"	0.069974833	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._SCSIO_03032	1109743
"NC_009655.1 Actinobacillus succinogenes 130Z, complete genome"	0.982901396	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Actinobacillus	713	s__Actinobacillus_succinogenes	67854
"NZ_CP015726.1 Streptomyces sp. RTd22 chromosome, complete genome"	0.080773451	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._RTd22	1841249
"NC_015957.1 Streptomyces violaceusniger Tu 4113, complete sequence"	0.082574004	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_violaceusniger	68280
"NZ_CP029347.1 Salinimonas sp. HMF8227 chromosome, complete genome"	0.9829092	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Alteromonadaceae	72275	g__Saliniradius	2661818	s__Saliniradius_amylolyticus	2183582
"NC_016582.1 Streptomyces bingchenggensis BCW-1, complete genome"	0.083775367	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_bingchenggensis	379067
"NZ_CP023992.1 Streptomyces malaysiensis DSM4137 chromosome, complete sequence"	0.093504452	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_malaysiensis	92644
"NC_010741.1 Treponema pallidum subsp. pallidum SS14, complete genome"	0.982924323	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pallidum	161
"NZ_CP011492.1 Streptomyces sp. CNQ-509 chromosome, complete genome"	0.099510743	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._CNQ-509	444103
"NZ_CP018627.1 Streptomyces hygroscopicus strain XM201, complete genome"	0.099898312	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_hygroscopicus	1912
"NZ_CP029823.1 Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome"	0.116205559	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_malaysiensis	92644
"NC_016843.1 Treponema pallidum subsp. pertenue str. Gauthier, complete genome"	0.982958829	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pertenue	168
"NZ_CP016340.1 Bordetella trematum strain F581 chromosome, complete genome"	0.982965652	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Alcaligenaceae	506	g__Bordetella	517	s__Bordetella_trematum	123899
"NZ_CP041654.1 Streptomyces sp. RLB1-9 chromosome, complete genome"	0.117248925	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._RLB1-9	2594454
"NZ_CP041612.1 Streptomyces sp. S1A1-8 chromosome, complete genome"	0.119631426	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._S1A1-8	2594460
"NZ_CP025551.1 Streptomyces rimosus strain WT5260 chromosome, complete genome"	0.121718161	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_rimosus	1927
"NZ_CP022433.1 Streptomyces pluripotens strain MUSC 137 chromosome, complete genome"	0.123903193	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_pluripotens	1355015
"NZ_CP026652.1 Streptomyces dengpaensis strain XZHG99 chromosome, complete genome"	0.124102104	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_dengpaensis	2049881
"NZ_CP041610.1 Streptomyces sp. RLB3-17 chromosome, complete genome"	0.124759059	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._RLB3-17	2594455
"NC_012880.1 Dickeya paradisiaca Ech703, complete sequence"	0.983021509	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Pectobacteriaceae	1903410	g__Dickeya	204037	s__Dickeya_paradisiaca	69223
"NZ_CP023688.1 Streptomyces rimosus strain ATCC 10970 chromosome, complete genome"	0.128189324	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_rimosus	1927
"NZ_CP041650.1 Streptomyces sp. RLB1-8 chromosome, complete genome"	0.13599267	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._RLB1-8	2594453
"NZ_CP041607.1 Streptomyces sp. S1D4-14 chromosome, complete genome"	0.136478166	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptomycetales	85011	f__Streptomycetaceae	2062	g__Streptomyces	1883	s__Streptomyces_sp._S1D4-14	2594461
"NZ_CP013252.1 Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence"	0.983033778	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Clostridiaceae	31979	g__Clostridium	1485	s__Clostridium_butyricum	1492
"NC_016842.1 Treponema pallidum subsp. pertenue str. SamoaD, complete genome"	0.983033888	k__Bacteria	2	p__Spirochaetes	203691	c__Spirochaetia	203692	o__Spirochaetales	136	f__Spirochaetaceae	137	g__Treponema	157	s__Treponema_pallidum_subsp._pertenue	168
